Date,High,Low,Open,Close,Volume,Adj Close
2019-11-29,612.0,609.0,612.0,609.0,320,609.0
2019-12-02,609.0,609.0,609.0,609.0,0,609.0
2019-12-03,610.0,610.0,610.0,610.0,10,610.0
2019-12-04,610.0,610.0,610.0,610.0,0,610.0
2019-12-05,592.0,592.0,592.0,592.0,10,592.0
2019-12-06,592.0,592.0,592.0,592.0,10,592.0
2019-12-09,592.0,592.0,592.0,592.0,0,592.0
2019-12-10,596.0,594.0,594.0,594.0,310,594.0
2019-12-11,596.0,594.0,594.0,594.0,310,594.0
2019-12-12,612.0,600.0,600.0,612.0,410,612.0
2019-12-13,640.0,612.0,612.0,640.0,1100,640.0
2019-12-16,640.0,630.0,630.0,640.0,190,640.0
2019-12-17,650.0,650.0,650.0,650.0,100,650.0
2019-12-18,640.0,640.0,640.0,640.0,20,640.0
2019-12-19,640.0,640.0,640.0,640.0,20,640.0
2019-12-20,640.0,640.0,640.0,640.0,0,640.0
2019-12-23,650.0,630.0,650.0,630.0,130,630.0
2019-12-24,630.0,630.0,630.0,630.0,0,630.0
2019-12-25,630.0,630.0,630.0,630.0,0,630.0
2019-12-26,660.0,650.0,650.0,660.0,1270,660.0
2019-12-27,660.0,650.0,650.0,660.0,1270,660.0
2019-12-30,660.0,660.0,660.0,660.0,0,660.0
2020-01-06,659.0,650.0,651.0,659.0,1540,659.0
2020-01-07,685.0,635.0,664.0,669.0,630,669.0
2020-01-08,750.0,640.0,640.0,750.0,5410,750.0
2020-01-09,750.0,640.0,640.0,750.0,5410,750.0
2020-01-10,747.0,672.0,747.0,672.0,1770,672.0
2020-01-14,700.0,673.0,673.0,689.0,280,689.0
2020-01-15,689.0,689.0,689.0,689.0,20,689.0
2020-01-16,690.0,689.0,689.0,690.0,190,690.0
2020-01-17,690.0,689.0,689.0,690.0,190,690.0
2020-01-20,705.0,690.0,691.0,705.0,260,705.0
2020-01-21,705.0,690.0,691.0,705.0,260,705.0
2020-01-22,719.0,680.0,719.0,680.0,20,680.0
2020-01-23,681.0,681.0,681.0,681.0,170,681.0
2020-01-24,681.0,681.0,681.0,681.0,170,681.0
2020-01-27,700.0,671.0,700.0,671.0,70,671.0
2020-01-28,673.0,671.0,671.0,673.0,100,673.0
2020-01-29,673.0,671.0,671.0,673.0,100,673.0
2020-01-30,691.0,664.0,691.0,664.0,1400,664.0
2020-01-31,665.0,664.0,665.0,664.0,90,664.0
2020-02-03,667.0,628.0,667.0,640.0,460,640.0
2020-02-04,670.0,669.0,670.0,670.0,350,670.0
2020-02-05,670.0,669.0,670.0,670.0,350,670.0
2020-02-06,695.0,670.0,670.0,695.0,1850,695.0
2020-02-07,700.0,700.0,700.0,700.0,20,700.0
2020-02-10,700.0,700.0,700.0,700.0,0,700.0
2020-02-12,708.0,700.0,700.0,708.0,50,708.0
2020-02-13,720.0,690.0,700.0,700.0,70,700.0
2020-02-14,700.0,700.0,700.0,700.0,0,700.0
2020-02-17,700.0,685.0,685.0,700.0,20,700.0
2020-02-18,700.0,700.0,700.0,700.0,0,700.0
2020-02-19,700.0,700.0,700.0,700.0,0,700.0
2020-02-20,700.0,700.0,700.0,700.0,0,700.0
2020-02-21,700.0,700.0,700.0,700.0,0,700.0
2020-02-25,680.0,640.0,680.0,650.0,580,650.0
2020-02-26,679.0,621.0,640.0,622.0,300,622.0
2020-02-27,621.0,621.0,621.0,621.0,70,621.0
2020-02-28,602.0,601.0,601.0,602.0,280,602.0
2020-03-02,625.0,600.0,600.0,625.0,30,625.0
2020-03-03,625.0,625.0,625.0,625.0,0,625.0
2020-03-04,625.0,625.0,625.0,625.0,0,625.0
2020-03-05,625.0,625.0,625.0,625.0,0,625.0
2020-03-06,620.0,605.0,605.0,620.0,150,620.0
2020-03-09,608.0,563.0,600.0,563.0,420,563.0
2020-03-10,566.0,550.0,551.0,566.0,60,566.0
2020-03-11,566.0,566.0,566.0,566.0,0,566.0
2020-03-12,559.0,543.0,543.0,559.0,210,559.0
2020-03-13,529.0,495.0,500.0,520.0,160,520.0
2020-03-16,520.0,474.0,474.0,520.0,70,520.0
2020-03-17,500.0,500.0,500.0,500.0,200,500.0
2020-03-18,490.0,489.0,489.0,490.0,100,490.0
2020-03-19,442.0,417.0,442.0,425.0,240,425.0
2020-03-23,425.0,425.0,425.0,425.0,10,425.0
2020-03-24,468.0,455.0,455.0,468.0,290,468.0
2020-03-25,548.0,530.0,548.0,530.0,60,530.0
2020-03-26,540.0,482.0,482.0,530.0,610,530.0
2020-03-27,510.0,505.0,510.0,505.0,450,505.0
2020-03-30,520.0,500.0,500.0,520.0,710,520.0
2020-03-31,516.0,516.0,516.0,516.0,200,516.0
2020-04-01,513.0,513.0,513.0,513.0,30,513.0
2020-04-02,501.0,500.0,501.0,500.0,270,500.0
2020-04-03,504.0,504.0,504.0,504.0,10,504.0
2020-04-06,504.0,503.0,504.0,504.0,370,504.0
2020-04-07,504.0,504.0,504.0,504.0,0,504.0
2020-04-08,504.0,504.0,504.0,504.0,0,504.0
2020-04-09,504.0,504.0,504.0,504.0,0,504.0
2020-04-10,521.0,521.0,521.0,521.0,10,521.0
2020-04-13,520.0,520.0,520.0,520.0,50,520.0
2020-04-14,520.0,520.0,520.0,520.0,0,520.0
2020-04-15,520.0,520.0,520.0,520.0,0,520.0
2020-04-16,520.0,520.0,520.0,520.0,0,520.0
2020-04-17,550.0,521.0,521.0,550.0,240,550.0
2020-04-20,590.0,590.0,590.0,590.0,100,590.0
2020-04-21,582.0,554.0,554.0,582.0,210,582.0
2020-04-22,550.0,550.0,550.0,550.0,30,550.0
2020-04-23,550.0,550.0,550.0,550.0,10,550.0
2020-04-24,540.0,539.0,540.0,540.0,410,540.0
2020-04-27,540.0,540.0,540.0,540.0,0,540.0
2020-04-28,540.0,540.0,540.0,540.0,0,540.0
2020-04-30,590.0,561.0,590.0,561.0,60,561.0
2020-05-01,579.0,579.0,579.0,579.0,10,579.0
2020-05-07,560.0,560.0,560.0,560.0,220,560.0
2020-05-08,560.0,560.0,560.0,560.0,0,560.0
2020-05-11,578.0,578.0,578.0,578.0,10,578.0
2020-05-12,578.0,540.0,578.0,540.0,140,540.0
2020-05-13,560.0,560.0,560.0,560.0,20,560.0
2020-05-14,570.0,570.0,570.0,570.0,10,570.0
2020-05-15,550.0,550.0,550.0,550.0,10,550.0
2020-05-18,578.0,578.0,578.0,578.0,10,578.0
2020-05-19,578.0,578.0,578.0,578.0,0,578.0
2020-05-20,578.0,578.0,578.0,578.0,0,578.0
2020-05-21,578.0,578.0,578.0,578.0,10,578.0
2020-05-22,578.0,578.0,578.0,578.0,0,578.0
2020-05-25,558.0,550.0,558.0,550.0,20,550.0
2020-05-26,589.0,560.0,561.0,589.0,140,589.0
2020-05-27,624.0,610.0,624.0,610.0,220,610.0
2020-05-28,650.0,620.0,650.0,620.0,300,620.0
2020-05-29,620.0,620.0,620.0,620.0,0,620.0
2020-06-01,620.0,620.0,620.0,620.0,0,620.0
2020-06-02,620.0,620.0,620.0,620.0,0,620.0
2020-06-03,620.0,620.0,620.0,620.0,0,620.0
2020-06-04,650.0,650.0,650.0,650.0,10,650.0
2020-06-05,650.0,650.0,650.0,650.0,0,650.0
2020-06-08,670.0,670.0,670.0,670.0,160,670.0
2020-06-09,670.0,670.0,670.0,670.0,660,670.0
2020-06-10,670.0,670.0,670.0,670.0,0,670.0
2020-06-11,670.0,670.0,670.0,670.0,0,670.0
2020-06-12,660.0,660.0,660.0,660.0,60,660.0
2020-06-15,631.0,610.0,631.0,630.0,420,630.0
2020-06-16,645.0,635.0,635.0,645.0,50,645.0
2020-06-17,640.0,625.0,625.0,630.0,260,630.0
2020-06-18,660.0,659.0,659.0,660.0,60,660.0
2020-06-19,660.0,660.0,660.0,660.0,0,660.0
2020-06-22,650.0,650.0,650.0,650.0,50,650.0
2020-06-23,650.0,650.0,650.0,650.0,0,650.0
2020-06-24,670.0,640.0,670.0,640.0,20,640.0
2020-06-25,640.0,640.0,640.0,640.0,0,640.0
2020-06-26,640.0,640.0,640.0,640.0,0,640.0
2020-06-29,640.0,622.0,640.0,622.0,120,622.0
2020-06-30,622.0,622.0,622.0,622.0,0,622.0
2020-07-01,622.0,622.0,622.0,622.0,0,622.0
2020-07-02,622.0,622.0,622.0,622.0,0,622.0
2020-07-03,630.0,603.0,603.0,620.0,490,620.0
2020-07-06,631.0,631.0,631.0,631.0,20,631.0
2020-07-07,690.0,630.0,660.0,639.0,520,639.0
2020-07-08,669.0,659.0,669.0,659.0,260,659.0
2020-07-09,659.0,659.0,659.0,659.0,0,659.0
2020-07-10,659.0,659.0,659.0,659.0,0,659.0
2020-07-13,635.0,635.0,635.0,635.0,50,635.0
2020-07-14,635.0,635.0,635.0,635.0,100,635.0
2020-07-15,645.0,645.0,645.0,645.0,10,645.0
2020-07-16,650.0,640.0,650.0,640.0,20,640.0
2020-07-17,640.0,640.0,640.0,640.0,0,640.0
2020-07-20,679.0,679.0,679.0,679.0,10,679.0
2020-07-21,646.0,646.0,646.0,646.0,20,646.0
2020-07-22,646.0,646.0,646.0,646.0,0,646.0
2020-07-27,646.0,646.0,646.0,646.0,0,646.0
2020-07-28,646.0,646.0,646.0,646.0,40,646.0
2020-07-29,646.0,646.0,646.0,646.0,0,646.0
2020-07-30,646.0,646.0,646.0,646.0,20,646.0
2020-07-31,646.0,646.0,646.0,646.0,0,646.0
2020-08-03,646.0,646.0,646.0,646.0,0,646.0
2020-08-04,646.0,646.0,646.0,646.0,0,646.0
